      Step      Potential       Kinetic        RelativeErr
         0     1220.217077        0.000000    0.000000e+00
       100     1220.065377        0.151692   -7.053308e-09
       200     1219.593909        0.623091   -6.304785e-08
       300     1218.787908        1.429016   -1.258333e-07
       400     1217.636529        2.580364   -1.505353e-07
       500     1216.146224        4.071269    3.405433e-07
       600     1214.412648        5.806954    2.068628e-06
       700     1212.610094        7.613674    5.483577e-06
       800     1210.965135        9.265649    1.123335e-05
       900     1209.635427       10.603665    1.804179e-05
      1000     1208.378395       11.868589    2.450910e-05
